DefaultSC.UTCGregorian     DefaultSC.Earth.SMA       DefaultSC.Earth.ECC       DefaultSC.EarthMJ2000Eq.INC   DefaultSC.EarthMJ2000Eq.RAAN   DefaultSC.EarthMJ2000Eq.AOP   DefaultSC.Earth.TA        DefaultSC.Earth.MA        
16 Dec 2025 15:26:45.990   6794.42203294919          0.002263403521944962      34.9047068617544              23.972920994588                207.200464897888              38.59770095221661         38.43610981580304         
16 Dec 2025 15:26:55.990   6794.368375833919         0.002255435385493145      34.90438373495621             23.97164529472003              207.1338062213688             39.31358252208354         39.1500494964421          
16 Dec 2025 15:27:05.990   6794.315855369844         0.002247715251658383      34.9040673999738              23.97035716045483              207.0644599891095             40.03213840952322         39.86667913322039         
16 Dec 2025 15:27:15.990   6794.264499206286         0.002240245630824021      34.90375801708568             23.96905686873322              206.9926777445625             40.75311665350615         40.58574712040847         
16 Dec 2025 15:27:25.990   6794.214334375885         0.002233028629165112      34.90345574287561             23.96774470270837              206.9187175189701             41.47625880350476         41.3069953635409          
16 Dec 2025 15:27:35.990   6794.165387279317         0.002226065942767658      34.90316073015347             23.96642095159163              206.8428432765683             42.20130047443079         42.03015983424762         
16 Dec 2025 15:27:45.990   6794.117683670362         0.00221935885272906       34.90287312787833             23.96508591049568              206.7653243269442             42.92797193442298         42.75497115793446         
16 Dec 2025 15:27:55.990   6794.071248641349         0.002212908221281265      34.90259308108363             23.96373988027441              206.6864347071502             43.65599872287774         43.48115523170473         
16 Dec 2025 15:28:05.990   6794.026106608962         0.00220671448896497       34.90232073080469             23.96238316736038              206.6064525366591             44.38510229564184         44.20843386944189         
16 Dec 2025 15:28:15.990   6793.982281300347         0.00220077767288869       34.90205621400835             23.96101608359878              206.525659347779              45.1150006947469          44.93652547142994         
16 Dec 2025 15:28:25.990   6793.939795739712         0.00219509736608761       34.90179966352495             23.95963894607953              206.4443393962695             45.84540923794331         45.66514571377395         
16 Dec 2025 15:28:35.990   6793.898672235223         0.002189672737989946      34.90155120798254             23.95825207696639              206.3627789549542             46.57604122524039         46.39400825482493         
16 Dec 2025 15:28:45.990   6793.858932366336         0.002184502536015175      34.90131097174368             23.95685580332364              206.2812655945307             47.30660865824924         47.1228254544049          
16 Dec 2025 15:28:55.990   6793.820596971545         0.002179585088292254      34.9010790748443              23.95545045694046              206.2000874556664             48.03682296824215         47.85130910174745         
16 Dec 2025 15:29:05.990   6793.783686136507         0.002174918307489476      34.90085563293518             23.95403637415315              206.1195325165892             48.76639574871787         48.57917114794319         
16 Dec 2025 15:29:15.990   6793.748219182602         0.002170499695761198      34.90064075722565             23.95261389566459              206.0398878599994             49.49503948864658         49.30612443906169         
16 Dec 2025 15:29:25.990   6793.714214655943         0.002166326350765594      34.90043455443002             23.95118336636255              205.9614389441874             50.22246830151096         50.03188344507019         
16 Dec 2025 15:29:35.990   6793.681690316811         0.0021623949727408        34.90023712671623             23.94974513513545              205.8844688820953             50.94839864640318         50.75616498080664         
16 Dec 2025 15:29:45.990   6793.650663129545         0.002158701872611076      34.90004857165712             23.9482995546865               205.809257732351              51.67255003715121         51.47868891498021         
16 Dec 2025 15:29:55.990   6793.621149252876         0.002155242981073284      34.89986898218416             23.94684698134612              205.7360818063305             52.39464573541733         52.19917886314313         
16 Dec 2025 15:30:05.990   6793.593164030695         0.002152013858624384      34.89969844654372             23.94538777488253              205.6652129949967             53.11441342402089         52.91736286088567         
16 Dec 2025 15:30:15.990   6793.566721983384         0.002149009706476564      34.89953704825604             23.94392229831127              205.5969181193867             53.83158585661325         53.63297401338337         
16 Dec 2025 15:30:25.990   6793.541836799457         0.002146225378323449      34.89938486607636             23.94245091770244              205.531458306922              54.54590148153079         54.34575111911756         
16 Dec 2025 15:30:35.990   6793.518521327839         0.002143655392857214      34.89924197395911             23.94097400198775              205.4690883985163             55.25710503484979         55.05543926280241         
16 Dec 2025 15:30:45.990   6793.49678757055          0.002141293947017438      34.89910844102431             23.93949192276571              205.4100563874942             55.96494810163205         55.76179037649846         
16 Dec 2025 15:30:55.990   6793.476646675887         0.002139134929884598      34.89898433152683             23.93800505410587              205.3546028934441             56.66918964223528         56.46456376579098         
16 Dec 2025 15:31:05.990   6793.458108932131         0.002137171937155811      34.89886970482809             23.93651377235214              205.3029606731092             57.36959648158687         57.16352659893099         
