DefaultSC.UTCGregorian     DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   
16 Dec 2025 15:52:35.990   6583.498450189283           1438.962784452326           -937.3381522116555          -0.7664256345437789          6.315203642820666            4.251684415792109            
16 Dec 2025 15:52:45.990   6575.417238071507           1502.022311235325           -894.76265870973            -0.8497993717525725          6.296568612473589            4.263324062358467            
16 Dec 2025 15:52:55.990   6566.502828658671           1564.891498723304           -852.0734777890116          -0.9330633381193796          6.277136191921738            4.274421663854106            
16 Dec 2025 15:53:05.990   6556.756372297141           1627.562385424355           -809.2760368566726          -1.016207008614037           6.256908879880691            4.284975840434783            
16 Dec 2025 15:53:15.990   6546.179124504603           1690.027035333806           -766.3757767745935          -1.099219874223204           6.23588927502685             4.294985281029864            
16 Dec 2025 15:53:25.990   6534.77244580327            1752.277538932137           -723.3781511708361          -1.182091443276259           6.214080075655366            4.304448743499343            
16 Dec 2025 15:53:35.990   6522.537801539833           1814.306014179396           -680.2886257495876          -1.264811242768678           6.191484079325208            4.313365054781868            
16 Dec 2025 15:53:45.990   6509.476761692192           1876.104607506016           -637.112677599673           -1.347368819682701           6.168104182491419            4.321733111033739            
16 Dec 2025 15:53:55.990   6495.591000662999           1937.665494799878           -593.8557945017208          -1.42975374230509            6.143943380124616            4.329551877758894            
16 Dec 2025 15:54:05.990   6480.882297060036           1998.980882389517           -550.5234742340738          -1.511955601541799           6.119004765317799            4.336820389929833            
16 Dec 2025 15:54:15.990   6465.352533463464           2060.043008023322           -507.1212238775376          -1.593964012229353           6.093291528880533            4.343537752099481            
16 Dec 2025 15:54:25.990   6449.003696179978           2120.844141844622           -463.6545591190543          -1.675768614442764           6.066806958920572            4.349703138503985            
16 Dec 2025 15:54:35.990   6431.83787498389            2181.376587362527           -420.1290035543939          -1.757359074799772           6.039554440412985            4.355315793156437            
16 Dec 2025 15:54:45.990   6413.857262845205           2241.632682418391           -376.5500879899544          -1.838725087761248           6.011537454756872            4.360375029931499            
16 Dec 2025 15:54:55.990   6395.064155644695           2301.604800147784           -332.9233497437609          -1.919856376927566           5.982759579319727            4.364880232640936            
16 Dec 2025 15:55:05.990   6375.460951876054           2361.28534993785            -289.2543319457546          -2.000742696330746           5.953224486969531            4.368830855100065            
16 Dec 2025 15:55:15.990   6355.050152335121           2420.666778379922           -245.5485828374633          -2.081373831722212           5.92293594559465             4.372226421185075            
16 Dec 2025 15:55:25.990   6333.834359796278           2479.741570217269           -201.8116550711435          -2.161739601855952           5.891897817611631            4.375066524881275            
