DefaultSC.UTCGregorian     DefaultSC.Earth.Altitude   DefaultSC.Earth.BetaAngle   DefaultSC.Earth.Latitude   DefaultSC.Earth.Longitude   DefaultSC.Earth.LST       
16 Dec 2025 09:08:15.990   403.1210938457525          7.000690996204918           -19.86327767176013         14.52488602764719           236.8577711742539         
16 Dec 2025 09:08:25.990   403.2451637126642          7.000507935396645           -20.1817951128989          15.08543863186673           237.4601044658764         
16 Dec 2025 09:08:35.990   403.3712952647675          7.000327134043258           -20.4982280678017          15.64841378970821           238.0648604796902         
16 Dec 2025 09:08:45.990   403.4994469318226          7.000148805734828           -20.81253281168678         16.21384637327517           238.6720737506601         
16 Dec 2025 09:08:55.990   403.6295767435686          6.999973162698246           -21.12466535128382         16.78177058096152           239.2817788143188         
16 Dec 2025 09:09:05.990   403.7616423375248          6.999800415699653           -21.43458138182683         17.35221991435996           239.8940088351201         
16 Dec 2025 09:09:15.990   403.8956009854937          6.999630773932155           -21.74223632056079         17.92522713873943           240.5087967469025         
16 Dec 2025 09:09:25.990   404.0314096109487          6.999464444920234           -22.04758530296068         18.50082423964231           241.1261747037777         
16 Dec 2025 09:09:35.990   404.1690248083232          6.999301634410387           -22.35058318711085         19.07904239444315           241.7461735459815         
16 Dec 2025 09:09:45.990   404.3084028623998          6.999142546272652           -22.65118455871289         19.65991192981378           242.3688237696864         
16 Dec 2025 09:09:55.990   404.4494997655474          6.99898738240321            -22.94934372838081         20.24346228196269           242.9941549778076         
16 Dec 2025 09:10:05.990   404.5922712461042          6.998836342618302           -23.24501477132815         20.82972194991826           243.6221953331661         
16 Dec 2025 09:10:15.990   404.7366727747376          6.998689624563989           -23.53815148451119         21.41871846630929           244.2529725374257         
16 Dec 2025 09:10:25.990   404.8826595928176          6.998547423611598           -23.82870742752917         22.01047835010781           244.8865132767309         
16 Dec 2025 09:10:35.990   405.0301867299013          6.998409932769929           -24.11663592284374         22.60502705648658           245.5228426709783         
16 Dec 2025 09:10:45.990   405.179209023393           6.998277342583257           -24.40189006502297         23.20238894303613           246.1619852449308         
16 Dec 2025 09:10:55.990   405.3296811382452          6.998149841046133           -24.6844227307673          23.80258721414863           246.8039643720156         
16 Dec 2025 09:11:05.990   405.4815575840539          6.998027613505113           -24.96418658069571         24.40564388821409           247.4488017344153         
16 Dec 2025 09:11:15.990   405.6347927449688          6.997910842571492           -25.24113410707155         25.0115797315412            248.0965182651453         
16 Dec 2025 09:11:25.990   405.7893408840882          6.997799708035616           -25.51521759232656         25.62041423051036           248.7471336200868         
16 Dec 2025 09:11:35.990   405.9451561732039          6.997694386772934           -25.78638915829932         26.23216553738763           249.400665614367          
16 Dec 2025 09:11:45.990   406.1021927098645          6.997595052666115           -26.05460077152115         26.84685041537456           250.0571311797569         
16 Dec 2025 09:11:55.990   406.260404536928           6.997501876513121           -26.31980425834426         27.46448420034458           250.7165458206992         
16 Dec 2025 09:12:05.990   406.4197456620132          6.997415025952683           -26.58195132098101         28.08508074123162           251.3789230489892         
16 Dec 2025 09:12:15.990   406.5801700740176          6.997334665376441           -26.84099354478294         28.70865236368697           252.0442755274169         
16 Dec 2025 09:12:25.990   406.7416317739908          6.997260955852872           -27.09688245479525         29.33520980119556           252.7126136523284         
16 Dec 2025 09:12:35.990   406.9040847771093          6.997194055052605           -27.34956947676374         29.96476216471563           253.3839467041827         
16 Dec 2025 09:12:45.990   407.0674831432807          6.997134117165838           -27.59900599541801         30.59731688688449           254.0582822823239         
16 Dec 2025 09:12:55.990   407.2317809932974          6.997081292836217           -27.84514336565232         31.23287966602584           254.7356257488682         
16 Dec 2025 09:13:05.990   407.3969325277476          6.997035729080777           -28.08793293427392         31.87145442759744           255.4159811983084         
16 Dec 2025 09:13:15.990   407.5628920458084          6.996997569227259           -28.32732606272668         32.51304326505676           256.0993508912744         
16 Dec 2025 09:13:25.990   407.7296139606551          6.996966952837851           -28.56327414050788         33.15764640600081           256.785734720087          
16 Dec 2025 09:13:35.990   407.8970528307545          6.996944015650243           -28.79572865089642         33.80526213945637           257.4751311409455         
16 Dec 2025 09:13:45.990   408.0651633590905          6.996928889505964           -29.02464113514304         34.4558868008697            258.1675366583311         
16 Dec 2025 09:13:55.990   408.233900424013           6.996921702290466           -29.24996325996903         35.10951470776109           258.8629452526255         
16 Dec 2025 09:14:05.990   408.4032190940989          6.996922577875077           -29.47164683493057         35.76613811518636           259.561349348385          
16 Dec 2025 09:14:15.990   408.5730746459431          6.996931636051234           -29.68964384092612         36.42574718192334           260.2627392710943         
16 Dec 2025 09:14:25.990   408.7434225788293          6.996948992481196           -29.90390645041237         37.08832992143232           260.9671026980062         
16 Dec 2025 09:14:35.990   408.9142186439767          6.996974758635368           -30.11438709454949         37.75387216057106           261.6744256245479         
16 Dec 2025 09:14:45.990   409.0854188440562          6.997009041747104           -30.32103843931352         38.42235750911217           262.3846918290613         
16 Dec 2025 09:14:55.990   409.2569794619685          6.997051944754982           -30.52381345425378         39.09376732089659           263.0978823282487         
16 Dec 2025 09:15:05.990   409.4288570746603          6.997103566256905           -30.72266543624971         39.76808065921072           263.8139763539658         
16 Dec 2025 09:15:15.990   409.6010085696898          6.997164000466267           -30.91754804321408         40.44527426144961           264.532950812177          
16 Dec 2025 09:15:25.990   409.7733911615051          6.997233337160543           -31.10841532855305         41.12532251953301           265.2547797585946         
16 Dec 2025 09:15:35.990   409.9459624038118          6.997311661646521           -31.29522176509979         41.80819744647551           265.97943537294           
16 Dec 2025 09:15:45.990   410.1186802201564          6.997399054712213           -31.47792232586205         42.4938686513531            266.7068874337899         
16 Dec 2025 09:15:55.990   410.291502897323           6.997495592597325           -31.65647245323237         43.18230332760132           267.4371027974411         
16 Dec 2025 09:16:05.990   410.4643891153237          6.99760134694559            -31.83082814079334         43.87346623430692           268.1700463920153         
16 Dec 2025 09:16:15.990   410.6372979587213          6.997716384784527           -32.00094595968623         44.56731967566714           268.9056806893478         
16 Dec 2025 09:16:25.990   410.8101889313448          6.997840768483085           -32.16678309660573         45.26382350066157           269.6439652017452         
16 Dec 2025 09:16:35.990   410.9830219706973          6.997974555726071           -32.32829739217997         45.96293509340689           270.3848576504628         
16 Dec 2025 09:16:45.990   411.155757458162           6.998117799489843           -32.48544736801323         46.66460937005623           271.1283126145151         
16 Dec 2025 09:16:55.990   411.3283562485058          6.998270548010514           -32.63819231219251         47.36879877993178           271.8742827127249         
16 Dec 2025 09:17:05.990   411.5007796599157          6.998432844768982           -32.78649224863227         48.07545331746986           272.6227181057696         
16 Dec 2025 09:17:15.990   411.6729895028202          6.998604728462603           -32.9303080227335          48.78452053314354           273.373566009312          
16 Dec 2025 09:17:25.990   411.8449480888803          6.998786232994817           -33.06960132899518         49.49594554120419           274.1267717047755         
16 Dec 2025 09:17:35.990   412.0166182435578          6.998977387452302           -33.2043347501503          50.20967104904565           274.8822780685893         
16 Dec 2025 09:17:45.990   412.1879633183307          6.999178216094175           -33.3344717961392          50.92563737815993           275.6400250851065         
16 Dec 2025 09:17:55.990   412.3589471985042          6.999388738343527           -33.45997693085037         51.64378249188493           276.3999508862345         
16 Dec 2025 09:18:05.990   412.5295343311418          6.999608968771503           -33.58081565837906         52.36404203112583           277.1619912814477         
16 Dec 2025 09:18:15.990   412.6996897117506          6.999838917098077           -33.69695448920434         53.08634935547592           277.9260792932007         
16 Dec 2025 09:18:25.990   412.8693789114841          7.000078588179946           -33.80836102539624         53.81063558994303           278.6921462160021         
16 Dec 2025 09:18:35.990   413.0385680835752          7.000327982015893           -33.91500398545541         54.5368296658434            279.4601211478748         
16 Dec 2025 09:18:45.990   413.2072239735044          7.000587093740059           -34.01685324036765         55.26485838431804           280.2299305537523         
16 Dec 2025 09:18:55.990   413.3753139288092          7.000855913627161           -34.11387984883704         55.99464647161182           281.0014993289147         
16 Dec 2025 09:19:05.990   413.5428059042861          7.001134427100115           -34.20605607939245         56.72611664048863           281.7747503532981         
16 Dec 2025 09:19:15.990   413.7096684879671          7.001422614730047           -34.29335549250169         57.45918966314031           282.5496040638184         
16 Dec 2025 09:19:25.990   413.875870884498           7.001720452253445           -34.37575289958518         58.19378444227993           283.325979530361          
16 Dec 2025 09:19:35.990   414.0413829403524          7.002027910575789           -34.45322444276727         58.9298180944659            284.1037940385193         
16 Dec 2025 09:19:45.990   414.206175147573           7.002344955793169           -34.52574761239253         59.66720602371655           284.8829626561042         
16 Dec 2025 09:19:55.990   414.3702186513456          7.002671549200631           -34.59330127534284         60.40586201911184           285.6633995065405         
16 Dec 2025 09:20:05.990   414.533485257225           7.003007647318285           -34.65586570188668         61.1456983355227            286.4450165112856         
16 Dec 2025 09:20:15.990   414.6959474336372          7.003353201905205           -34.71342257864514         61.88662579855107           287.2277246617169         
16 Dec 2025 09:20:25.990   414.8575783355327          7.003708159985276           -34.7659550815843          62.62855389751982           288.011433616658          
16 Dec 2025 09:20:35.990   415.0183517846581          7.004072463875301           -34.81344782401184         63.37139088742853           288.7960512939696         
16 Dec 2025 09:20:45.990   415.1782422924134          7.004446051205631           -34.8558869260694          64.11504390171105           289.581484995655          
16 Dec 2025 09:20:55.990   415.3372250608281          7.004828854957603           -34.89326002076336         64.85941905129943           290.3676410012158         
16 Dec 2025 09:21:05.990   415.4952759874832          7.005220803487755           -34.92555627041834         65.60442154684263           291.1544241841619         
16 Dec 2025 09:21:15.990   415.6523716700021          7.005621820569662           -34.95276638117835         66.34995580242888           291.9417391280824         
16 Dec 2025 09:21:25.990   415.8084894058675          7.006031825423619           -34.97488260316125         67.0959255608753            292.7294897425011         
16 Dec 2025 09:21:35.990   415.9636072134181          7.006450732758083           -34.99189879030769         67.842234009206             293.5175788782348         
16 Dec 2025 09:21:45.990   416.1177038092846          7.006878452813289           -35.00381033466674         68.58878389301951           294.3059094499169         
16 Dec 2025 09:21:55.990   416.2707586286206          7.007314891397384           -35.01061422207206         69.33547764764089           295.0943840600449         
16 Dec 2025 09:22:05.990   416.4227518233429          7.007759949939333           -35.01230902393891         70.08221750936342           295.8829046096361         
16 Dec 2025 09:22:15.990   416.5736642643124          7.008213525528266           -35.00889489927063         70.82890564844891           296.6713734361244         
16 Dec 2025 09:22:25.990   416.7234775431189          7.008675510970745           -35.00037359451666         71.57544428129336           297.4596929249412         
16 Dec 2025 09:22:35.990   416.8721739692119          7.009145794834295           -34.98674842903585         72.32173580232637           298.2477651333772         
16 Dec 2025 09:22:45.990   417.0197365880349          7.009624261508808           -34.96802433967096         73.06768289999718           299.0354929193822         
16 Dec 2025 09:22:55.990   417.1661491559635          7.010110791255246           -34.94420780064595         73.81318868066171           299.8227795560191         
16 Dec 2025 09:23:05.990   417.311396157681           7.010605260266255           -34.9153068639501          74.55815678888278           300.6095283516431         
16 Dec 2025 09:23:15.990   417.455462801774           7.011107540728709           -34.88133113632792         75.30249152099604           301.3956437711593         
16 Dec 2025 09:23:25.990   417.5983350202141          7.01161750087854            -34.84229176649389         76.04609795096324           302.1810310570988         
16 Dec 2025 09:23:35.990   417.7399994638499          7.012135005072291           -34.7982014199995          76.7888820328525            302.965595826391          
16 Dec 2025 09:23:45.990   417.8804435156089          7.012659913844758           -34.74907430391252         77.53075072958677           303.7492453790976         
16 Dec 2025 09:23:55.990   418.0196552671505          7.013192083984288           -34.69492608600537         78.27161210268646           304.5318874396002         
